Eng,Beng
He hasn't arrived yet.,ও এখনো এসে পৌছায়নি।
He likes Italian food.,সে ইটালিয়ান খাবার পছন্দ করে।
He went back to Japan.,তিনি জাপানে ফেরত গিয়েছেন।
He's eating lunch now.,উনি এখন লাঞ্চ করছেন।
He's eating lunch now.,তিনি এখন লাঞ্চ করছেন।
He's eating lunch now.,সে এখন লাঞ্চ করছে।
He's eating lunch now.,ও এখন লাঞ্চ করছে।
Honey comes from bees.,মৌমাছি থেকে মধু আসে।
How high can you jump?,তুমি কত উঁচুতে লাফাতে পারো?
How long did you stay?,আপনি কতক্ষণ ছিলেন?
How long did you stay?,তুমি কতক্ষণ ছিলে?
How long did you stay?,তুই কতক্ষণ ছিলিস?
How much do I owe you?,আপনি আমার কাছ থেকে কত পাবেন?
How much does it cost?,এর দাম কত?
How much does it cost?,এটার দাম কত?
I am 30 years old now.,আমার এখন তিরিশ বছর বয়স।
I am here on business.,আমি এখানে ব্যবসার জন্য এসেছি।
I bought it last week.,আমি গত সপ্তাহে এটা কিনেছিলাম।
I can't stop coughing.,আমি কাশি থামাতেই পারছি না।
I decided to call Tom.,আমি টমকে ফোন করার সিদ্ধান্ত নিলাম।
I don't get it either.,আমিও ওটা বুঝি না।
I don't study physics.,আমি পদার্থবিদ্যা পড়ি না।
I found the book easy.,আমর বইটা সহজ বলে মনে হয়েছিল।
I have a slight fever.,আমার অল্প জ্বর হয়েছে।
I have class tomorrow.,আমার কাল ক্লাস আছে।
I have to go to sleep.,আমাকে ঘুমাতে যেতে হবে।
I heard you screaming.,আমি তোমাকে চিৎকার করতে শুনলাম।
I heard you screaming.,আমি আপনাকে চিৎকার করতে শুনলাম।
I heard you screaming.,আমি তোমাকে চেঁচাতে শুনলাম।
I know what Tom meant.,টম কী বুঝিয়েছি আমি জানি।
I never liked biology.,আমার জীবনবিজ্ঞান কখনই ভালো লাগেনি।
I promise I won't cry.,কথা দিচ্ছি আমি কাঁদবো না।
I respect the elderly.,আমি বড়দের শ্রদ্ধা করি।
I signed the contract.,আমি চুক্তিটা সই করলাম।
I used to play tennis.,আমি টেনিস খেলতাম।
I usually eat outside.,আমি সাধারণত বাইরে খাই।
I want to sing a song.,আমি গান গেতে চাই।
I was born in October.,আমি অক্টোবরে জন্মেছি।
I was in the hospital.,আমি হাসপাতালে ছিলাম।
I will make her happy.,আমি তাকে খুশি করবো।
I will return at 6:30.,আমি ৬:৩০-এ ফিরে আসবো।
I'll see you tomorrow.,আগামীকাল দেখা হবে।
I'm a biology student.,আমি জীববিজ্ঞানের শিক্ষার্থী।
"I'm from Tokyo, Japan.",আমি জাপানের টোকিও থেকে এসেছি।
I'm not proud of that.,আমি ওতে গর্বিত নই।
I'm not proud of that.,আমি তাতে গর্বিত নই।
I'm not proud of this.,আমি এটায় গর্বিত নই।
I'm not young anymore.,আমি আর তরুণ নেই।
I'm reading your book.,আমি তোমার বইটা পড়ছি।
I'm reading your book.,আমি আপনার বইটা পড়ছি।
I'm still your friend.,আমি এখনো আপনার বন্ধু আছি।
I'm still your friend.,আমি এখনো তোর বন্ধু আছি।
I'm still your friend.,আমি এখনো তোমার বন্ধু আছি।
I'm still your friend.,আমি এখনো আপনাদের বন্ধু আছি।
I'm still your friend.,আমি এখনো তোমাদের বন্ধু আছি।
I'm still your friend.,আমি এখনো তোদের বন্ধু আছি।
I've finished my work.,আমি আমার কাজ শেষ করেছি।
I've got tuberculosis.,আমার যক্ষ্মা হয়েছে।
I've lost my passport.,আমি আমার পাসপোর্ট হারিয়ে ফেলেছি।
Is Mary your daughter?,মেরি কি আপনার মেয়ে?
Is your headache gone?,তোমার মাথা ব্যাথা চলে গেছে?
Is your watch correct?,আপনার ঘড়ি ঠিক আছে?
Is your watch correct?,তোমার ঘড়ি ঠিক আছে?
It is true in a sense.,এক অর্থে এটি সত্য।
It wasn't an accident.,এটা কোনো দুর্ঘটনা ছিল না।
It's a quarter to two.,পৌনে দুটো বাজে।
It's driving me crazy.,এটা আমাকে পাগল করে দিচ্ছে।
It's probably a virus.,এটা সম্ভবত ভাইরাস।
It's what I'm used to.,আমি এতেই অভ্যস্ত।
Just try to keep calm.,একটু শান্ত থাকার চেষ্টা করো।
Just try to keep calm.,একটু শান্ত থাকার চেষ্টা করুন।
Just try to keep calm.,একটু শান্ত থাকার চেষ্টা কর।
Keep Tom away from me.,টমকে আমার থেকে দূরে রাখুন।
Keep Tom away from me.,টমকে আমার থেকে দূরে রাখো।
"Like father, like son.","যেমন বাপ, তেমন ছেলে।"
Make yourself at home.,এটা নিজের ঘর মনে করো।
Make yourself at home.,এটা নিজের ঘর মনে করুন।
May I open the window?,আমি কি জানলাটা খুলতে পারি?
My baggage is missing.,আমার মালপত্র পাওয়া যাচ্ছে না।
My father is a doctor.,আমার বাবা একজন ডাক্তার।
My father loves pizza.,আমার বাবা পিজ্জা ভালবাসে।
My father loves pizza.,আমার বাবার পিজ্জা ভাল লাগে।
My mother loves music.,আমার মা সঙ্গীত ভালবাসে।
My mother loves music.,আমার মায়ের সঙ্গীত ভাল লাগে।
Nice to see you again.,আপনাকে আবার দেখে ভালো লাগলো।
Nice to see you again.,তোমাকে আবার দেখে ভালো লাগলো।
Nice to see you again.,তোমাদেরকে আবার দেখে ভালো লাগলো।
Nice to see you again.,আপনাদেরকে আবার দেখে ভালো লাগলো।
Nobody here does that.,এখানে কেউই ওরকম করে না।
Nobody understands me.,আমাকে কেউ বোঝে না।
Nothing really worked.,কিছুই কাজ করে।
Please wake me at six.,আমাকে ছটার সময় জাগিয়ে দেবেন।
She's my older sister.,ও আমার দিদি।
She's younger than me.,ও আমার থেকে ছোট।
She's younger than me.,সে আমার থেকে ছোট।
She's younger than me.,এ আমার থেকে ছোট।
Sit wherever you like.,তোমার যেখানে ইচ্ছে হয় বসো।
Sit wherever you like.,আপনার যেখানে ইচ্ছে হয় বসুন।
Tell Tom I'll be back.,টমকে বলেন যে আমি ফিরে আসবো।
Tell me what happened.,আমাকে বলুন কি ঘটেছিলো।
Tell me what happened.,আমাকে বলো কি ঘটেছিলো।
Tell me what you want.,আমাকে বলো কি চাও।
Tell me what you want.,আমাকে বল কি চাস।
Tell me what you want.,আমাকে বলেন কি চান।
That book is very old.,ওই বইটা খুব পুরানো।
That man is a soldier.,লোকটা একজন সৈনিক।
That's rather amusing.,এটা বেশ মজার ব্যপার।
The baby is screaming.,বাচ্চাটা চিৎকার করছে।
The baby is screaming.,বাচ্চাটা চেঁচাচ্ছে।
The cake is delicious.,কেকটা সুস্বাদু।
The experiment failed.,গবেষণাটি অসফল হলো।
The police are coming.,পুলিশ আসছে।
The war ended in 1954.,যুদ্ধটা ১৯৫৪ সালে শেষ হয়েছিল।
There are no problems.,কোনো অসুবিধা নেই।
This is not important.,এটি গুরুত্বপূর্ণ না।
"To me, it's important.",আমার কাছে এটা গুরূত্বপুর্ণ।
Tom also plays guitar.,টমও গীটার বাজায়।
Tom and I are married.,টম এবং আমি বিবাহিত।
Tom called the police.,টম পুলিশ ডেকেছিলো।
Tom can't play tennis.,টম টেনিস খেলতে পারে না।
Tom continued yelling.,টম চিৎকার করতেই থাকলো।
Tom continued yelling.,টম চেঁচাতেই থাকলো।
Tom coughed all night.,টম সারা রাত্রি কাশছিলো।
Tom died last October.,টম গত অক্টোবর মারা গেছে।
Tom doesn't like cops.,টম পুলিশদের পছন্দ করে না।
Tom eats very quickly.,টম খুব তারাতারি খায়।
Tom grew up in Boston.,টম বস্টনে বড়ো হয়েছে।
Tom is as big as I am.,টম আমার মতই বড়ো।
Tom is very religious.,টম খুব ধার্মিক।
Tom sat on the stairs.,টম সিঁড়িতে বসলো।
Tom started screaming.,টম চেঁচানো শুরু করলো।
Tom started screaming.,টম চিৎকার শুরু করলো।
Tom started screaming.,টম চিৎকার আরম্ভ করলো।
Tom started screaming.,টম চেঁচানো আরম্ভ করলো।
Tom started the fight.,টম লড়াইটা শুরু করেছে।
Tom started to scream.,টম চিৎকার করতে শুরু করলো।
Tom started to scream.,টম চেঁচাতে শুরু করলো।
Tom started to scream.,টম চেঁচাতে আরম্ভ করলো।
Tom started to scream.,টম চিৎকার করতে আরম্ভ করলো।
Tom stopped screaming.,টম চিৎকার করা বন্ধ করলো।
Tom stopped screaming.,টম চেঁচানো বন্ধ করলো।
Tom taught me to read.,টম আমাকে পড়তে শিখিয়েছে।
Tom teaches me French.,টম আমাকে ফরাসি শেখায়।
Tom teaches me French.,টম আমাকে ফরাসি পড়ায়।
Tom tried to hit Mary.,টম মেরিকে মারার চেষ্টা করলো।
Tom wasn't in the car.,টম গাড়িতে ছিলো না।
Tom will be here soon.,টম এখানে খুব শিঘ্রই আসছে।
Tom's dog bit my hand.,টমের কুকুর আমার হাত কামড়ে দিয়েছে।
We have to be careful.,আমাদেরকে সাবধান হতে হবে।
We have two daughters.,আমাদের দুটো মেয়ে আছে।
We often eat together.,আমরা প্রায়শই একসাথে খাই।
We're really busy now.,আমরা এখন সত্যিই ব্যস্ত।
We're still in danger.,আমরা এখনও বিপদে আছি।
We've just had dinner.,আমরা সবে রাতের খাবার খেয়েছি।
What are you here for?,আপনি এখানে কি জন্যে এসেছেন?
What are you here for?,তুমি এখানে কি জন্য এসেছো?
What does your son do?,আপনার ছেলে কি করে?
What does your son do?,তোমার ছেলে কি করে?
What grade are you in?,তুমি কোন শ্রেণীতে পড়ো?
What have you brought?,আপনি কী এনেছেন?
What have you brought?,তুমি কী এনেছো?
What is the next stop?,এর পরের স্টপ কোনটা?
What time is it there?,ওখানে এখন কটা বাজে?
What's my room number?,আমার রুম নম্বর কত?
What's your full name?,আপনার পুরো নাম কী?
What's your full name?,তোমার পুরো নাম কী?
What's your full name?,তোর পুরো নাম কী?
Where are your things?,আপনার জিনিসপত্র কোথায়?
Where are your things?,তোমার জিনিসপত্র কোথায়?
Where are your things?,আপনাদের জিনিসপত্র কোথায়?
Where are your things?,তোমাদের জিনিসপত্র কোথায়?
Where can I buy books?,আমি বই কোথা থেকে কিনতে পারব?
Where is the bathroom?,বাথরুম কোথায়?
Where is the bathroom?,গোসলখানা কোথায়?
Where is the elevator?,লিফটটা কোথায়?
Where were the police?,পুলিশ কোথায় ছিল?
Where's the money now?,টাকাগুলো এখন কোথায় আছে?
Where's the newspaper?,খবরের কাগজটি কোথায়?
Where's your daughter?,আপনার মেয়ে কোথায়?
Who wants to go first?,কে প্রথমে যেতে চায়?
Why should I help you?,আমি কেন তোমাকে সাহায্য করব?
Why wait until Monday?,সোমবার অবধি অপেক্ষা করার কি আছে?
Will it rain tomorrow?,আগামীকাল কি বৃষ্টি হবে?
Will you come tonight?,তুমি কি আজ রাতে আসবে?
Winning is never easy.,জেতাটা কখনোই সহজ নয়।
You deserve the prize.,এই পুরষ্কারটি আপনার প্রাপ্য।
You deserve the prize.,আপনি এই পুরষ্কারটির যোগ্য।
You didn't understand.,আপনি বুঝতে পারেন নি।
You didn't understand.,তুমি বুঝতে পারো নি।
You didn't understand.,আপনারা বুঝতে পারেন নি।
You didn't understand.,তোমরা বুঝতে পারো নি।
You'll never be alone.,তুমি কখনো একা থাকবে না।
You'll never be alone.,আপনি কখনো একা থাকবেন না।
You'll never be alone.,তুই কখনো একা থাকবি না।
All people breathe air.,সমস্ত মানুষ বাতাসে শ্বাস নেয়।
All these methods work.,এই সব পদ্ধতিই কাজ করে।
Can you play the piano?,তুমি পিয়ানো বাজাতে পার?
Can you play the piano?,আপনি পিয়ানো বাজাতে পারেন?
Could I have the check?,আমি কি একটু চেকটা পেতে পারি?
Did you see him go out?,আপনি কি ওনাকে বেড়িয়ে যেতে দেখেছেন?
Did you see him go out?,তুমি কি ওনাকে বেড়িয়ে যেতে দেখেছো?
Do you have any others?,আপনার কাছে কি আর কিছু আছে?
Do you have any others?,আপনাদের কাছে কি আর কিছু আছে?
Do you like old movies?,আপনি কি পুরানো সিনেমা পছন্দ করেন?
Does he live near here?,উনি কি কাছাকাছি কোথাও থাকেন?
Does he live near here?,সে কি কাছাকাছি কোথাও থাকে?
Don't move these books.,এই বইগুলো সরাবেন না।
Don't move these books.,এই বইগুলো সরিও না।
Don't underestimate me.,আমাকে কোন অংশে কম মনে কোরো না।
Don't underestimate me.,আমাকে কোন অংশে কম মনে করবেন না।
Don't underestimate us.,আমাদেরকে কোন অংশে কম মনে কোরো না।
Don't underestimate us.,আমাদেরকে কোন অংশে কম মনে করবেন না।
Everybody is very busy.,সবাই খুব ব্যস্ত।
Everyone was satisfied.,সবাই সন্তুষ্ট ছিলো।
Everyone was screaming.,সবাই চেঁচাচ্ছিলেন।
Everyone was screaming.,সবাই চিৎকার করছিলেন।
Everyone was screaming.,সবাই চিৎকার করছিলো।
Everyone was screaming.,সবাই চেঁচাচ্ছিলো।
Everyone went to sleep.,সবাই ঘুমাতে চলে গেলো।
French isn't difficult.,ফরাসি কঠিন নয়।
"Give me some milk, too.",আমাকে একটু দুধও দেবেন।
"Good morning, everyone.",সবাইকে সুপ্রভাত।
He has three daughters.,ওনার তিনটে মেয়ে আছে।
He has three daughters.,তাঁর তিনটে মেয়ে আছে।
He is from our village.,সে আমাদের গ্রামের।
He is having lunch now.,উনি এখন লাঞ্চ করছেন।
He is having lunch now.,তিনি এখন লাঞ্চ করছেন।
He is having lunch now.,সে এখন লাঞ্চ করছে।
He is having lunch now.,ও এখন লাঞ্চ করছে।
He knows where we live.,উনি জানেন আমরা কোথায় থাকি।
He knows where we live.,তিনি জানেন আমরা কোথায় থাকি।
He knows where we live.,ও জানে আমরা কোথায় থাকি।
He knows where we live.,সে জানে আমরা কোথায় থাকি।
He left Japan for good.,সে ভালোর জন্যই জাপান ত্যাগ করেছে।
He understands physics.,তিনি পদার্থবিদ্যা বুঝেন।
He was giving a speech.,উনি বক্তৃতা দিচ্ছিলেন।
He was giving a speech.,ও বক্তৃতা দিচ্ছিলো।
He was giving a speech.,সে বক্তৃতা দিচ্ছিলো।
He was giving a speech.,তিনি বক্তৃতা দিচ্ছিলেন।
He was in good spirits.,তিনি ভাল মেজাজে ছিলেন।
He went to the dentist.,উনি দাঁতের ডাক্তারের কাছে গিয়েছিলেন।
He went to the dentist.,তিনি দাঁতের ডাক্তারের কাছে গিয়েছিলেন।
He went to the dentist.,সে দাঁতের ডাক্তারের কাছে গিয়েছিল।
Here's my phone number.,এই হলো আমার ফোন নাম্বার।
How much is this clock?,এই ঘড়িটার দাম কত?
How much is this watch?,এই ঘড়িটার দাম কত?
How old is that church?,ওই চার্চটার বয়স কত?
How old is that church?,সেই চার্চটার বয়স কত?
How old is this church?,এই চার্চটার বয়স কত?
How old is your father?,আপনার বাবার বয়স কত?
How old is your father?,তোমার বাবার বয়স কত?
I am eating a cucumber.,আমি একটা শশা খাচ্ছি।
I bought a new sweater.,আমি একটা নতুন সোয়েটার কিনলাম।
I bought a new sweater.,আমি নতুন একটা সোয়েটার কিনেছি।
I couldn't stop myself.,আমি নিজেকে থামতে পারলাম না।
I don't agree with him.,আমি ওর সাথে একমত নই।
I don't agree with him.,আমি ওনার সাথে একমত নই।
I don't agree with him.,আমি তার সাথে একমত নই।
I don't agree with him.,আমি তাঁর সাথে একমত নই।
I don't like Tom's dog.,আমার টমের কুকুরকে ভালো লাগে না।
I don't like the taste.,স্বাদটা আমার পছন্দ নয়।
I don't speak Japanese.,আমি জাপানি ভাষায় কথা বলি না।
I don't understand you.,আমি আপনার কথা বুঝতে পারছি না।
I don't understand you.,আমি তোমার কথা বুঝতে পারছি না।
I don't want you to go.,আমি চাই না যে আপনি যান।
I don't want you to go.,আমি চাই না যে তুই যাস।
I feel physically sick.,আমি শারীরিকভাবে অসুস্থ বোধ করছি।
I go to school on foot.,আমি হেঁটে স্কুলে যাই।
I grew up in Australia.,আমি অস্ট্রেলিয়ায় বড় হয়েছি।
I have three daughters.,আমার তিনটে মেয়ে আছে।
I just eat bananas now.,আমি এখন খালি কলা খাই।
I love solving puzzles.,আমি ধাঁধা সমাধান করতে ভালোবাসি।
I need those documents.,আমার ওই কাগজপত্রগুলো দরকার।
I received your letter.,আমি তোমার চিঠি পেয়েছি।
I received your letter.,আমি আপনার চিঠি পেয়েছি।
I saw him wash the car.,আমি ওনাকে গাড়ি ধুতে দেখলাম।
I saw him wash the car.,আমি ওকে গাড়ি ধুতে দেখলাম।
I should've called Tom.,আমার টমকে ডাকা উচিত ছিল।
I think I lost my keys.,আমার মনে হয় আমি আমার চাবিটা হারিয়ে ফেলেছি।
I thought Tom was dead.,আমি ভেবেছিলাম টম মারা গেছিলো।
I want to cook for you.,আমি আপনার জন্য রান্না করতে চাই।
I want to cook for you.,আমি তোমার জন্য রান্না করতে চাই।
I want to hear who won.,আমি কে জিতলো শুনতে চাই।
I want to write a book.,আমি একটি বই লিখতে চাই।
I was in the mountains.,আমি পাহাড়ে ছিলাম।
I was physically ready.,আমি শারীরিকভাবে প্রস্তুত ছিলাম।
I went to the hospital.,আমি হাসপাতালে গেছিলাম।
I will gladly help you.,আমি খুশি মনে তোমাকে সাহায্য করব।
I will gladly help you.,আমি খুশি মনে আপনাকে সাহায্য করব।
I will gladly help you.,আমি খুশি মনে তোকে সাহায্য করব।
I'd like to see my son.,আমি আমার ছেলেকে দেখতে চাই।
I'd rather go swimming.,তার থেকে আমি সাঁতার কাটতে ষাব।
I'd say Tom is jealous.,আমি বলবো যে টম ঈর্ষান্বিত।
I'll come back for you.,আমি তোমার জন্য ফিরে আসবো।
I'll come back for you.,আমি তোর জন্য ফিরে আসবো।
I'll come back for you.,আমি আপনার জন্য ফিরে আসবো।
I'll never tell anyone.,আমি কখনই কাউকে বলবো না।
I'm at the station now.,আমি এখন স্টেশনে।
I'm going to a meeting.,আমি একটা সভায় যাচ্ছি।
I'm really embarrassed.,আমি সত্যিই লজ্জিত।
Is Tom still mad at me?,টম কি এখনো আমার উপর রেগে আছে?
Is it a recent picture?,এটা কি সাম্প্রতিক ছবি?
Is this seat available?,এই আসনটা কি পাওয়া যাবে?
It doesn't surprise me.,এতে আমি অবাক হইনি।
It doesn't surprise me.,এটা আমাকে অবাক করেনি।
It's October the third.,তেশরা অক্টোবর।
It's fairly warm today.,আবহাওয়া আজ মোটামুটি উষ্ণ আছে।
It's rather cold today.,আজ বেশ ঠান্ডা আছে।
Many slaves were freed.,অনেক দাসকে মুক্তি দেওয়া হয়।
May I open the windows?,আমি কি জানলাগুলো খুলতে পারি?
May I start eating now?,আমি কি এখন খাওয়া শুরু করতে পারি?
Most likely Tom forgot.,টম হয়তো ভুলে গেছে।
My father is a teacher.,আম্মার বাবা একজন শিক্ষক।
My father is very nice.,আমার বাবা খুব ভালো।
My son came to my room.,আমার ছেলে আমার ঘরে এসেছিল।
My son can't count yet.,আমার ছেলে এখনো গুনতে পারে না।
My throat is a bit dry.,আমার গলাটা একটু শুকিয়ে গেছে।
No one man could do it.,কোনো একজন মানুষ এটা করতে পারবে না।
Nobody's indispensable.,কেউই অপরিহার্য নয়।
Our future is at stake.,আমাদের ভবিষ্যত বিপদাপন্ন।
Please call the police.,দয়া করে পুলিশকে কল করুন।
School begins tomorrow.,ইস্কুল কালকে শুরু হবে।
She can speak Japanese.,ইনি জাপানি বলতে পারেন।
She can speak Japanese.,উনি জাপানি বলতে পারেন।
She can speak Japanese.,তিনি জাপানি বলতে পারেন।
She can speak Japanese.,সে জাপানি বলতে পারে।
She is younger than me.,ও আমার থেকে ছোট।
She is younger than me.,সে আমার থেকে ছোট।
She is younger than me.,এ আমার থেকে ছোট।
She knows what you did.,সে জানে তুমি কী করেছ।
Tell me which you want.,আপনার কোনটা দরকার আমাকে বলুন।
Tell me which you want.,তোমার কোনটা দরকার আমাকে বলো।
"Thanks, this is enough.","ধন্যবাদ, এতেই হবে।"
That war ended in 1954.,১৯৫৪ সালে যুদ্ধটি শেষ হয়।
That's really annoying.,এটা সত্যিই বিরক্তিকর।
The balloon will burst.,বেলুনটা ফেটে যাবে।
The building's on fire.,ভবনটিতে আগুন লেগেছে।
The police accused him.,পুলিশ তাকে অভিযুক্ত করে।
The rain lasted a week.,বৃষ্টিটি এক সপ্তাহ ধরে চলেছিল।
"The sooner, the better.","যত তাড়াতাড়ি হয়, তত ভালো।"
They say love is blind.,সবাই বলে ভালোবাসা অন্ধ।
This is the last train.,এটাই শেষ ট্রেন।
This is very good soil.,এটা খুব ভালো মাটি।
This isn't a good sign.,এটা ভালো লক্ষণ নয়।
Tom continued speaking.,টম কথা বলতে থাকলো।
Tom had no plan at all.,টমের কোনো পরিকল্পনাই ছিল না।
Tom hardly ever laughs.,টম খুব কম হাসে।
Tom has won many races.,টম অনেক দৌড় জিতেছে।
Tom is a very tall boy.,টম খুব লম্বা ছেলে।
Tom is good at cooking.,টম খুব ভালো রান্না করতে পারে।
Tom is partially right.,টম আংশিক সঠিক।
Tom is still at school.,টম এখনো ইস্কুলে।
Tom is still in Boston.,টম এখনো বস্টনে রয়েছে।
Tom is still in prison.,টম এখনো গারদে।
Tom knows me very well.,টম আমাকে খুব ভালোভাবে চেনে।
Tom made three changes.,টম তিনটে পরিবর্তন করলো।
Tom most likely forgot.,টম হয়তো ভুলে গেছে।
Tom never eats spinach.,টম কখনই শাক খায় না।
Tom read lots of books.,টম প্রচুর বই পড়ে।
Tom resigned yesterday.,টম গতকাল পদত্যাগ করেছে।
Tom rolled over in bed.,টম বিছানায় পাশ ফিরে শুলো।
Tom sent Mary a letter.,টম মেরিকে একটা চিঠি পাঠালো।
Tom slept on the train.,টম ট্রেনে ঘুমালো।
Tom squeezed the lemon.,টম পাতিলেবুটাকে চিপরালো।
Tom told me that today.,টম আমাকে সেটা আজকে বললো।
We can finish it later.,আমরা এটা পরেও শেষ করতে পারি।
We like playing soccer.,আমরা ফুটবল খেলা পছন্দ করি।
We met a few weeks ago.,আমরা কয়েক সপ্তাহ আগে দেখা করেছিলাম।
We write our own songs.,আমরা আমাদের নিজেদের গান লিখি।
We write our own songs.,আমাদের নিজেদের গান নিজেরাই লিখি।
We'll be at home today.,আমরা আজ বাড়িতেই থাকব।
We're biology students.,আমরা জীববিজ্ঞানের শিক্ষার্থী।
We're going to eat now.,আমরা এখন খেতে যাবো।
We're going to eat now.,আমরা এখন খাবো।
What a wonderful night!,কী দারুণ একটা রাত!
What actually happened?,ঠিক কী হয়েছিলো?
What do you want to be?,আপনি কি হতে চান?
What do you want to be?,তুমি কি হতে চাও?
What do you want to be?,তুই কি হতে চাস?
What else did you want?,আপনি আর কী চেয়েছিলেন?
What time did Tom call?,টম কটার সময় ফোন করেছিল?
What time does it open?,এটা কটার সময় খোলে?
What time's your plane?,আপনার প্লেনটা কটার সময়?
What's the movie about?,চলচ্চিত্রটি কী বিষয়ক?
When do you want to go?,তুমি কখন যেতে চাও?
When do you want to go?,আপনি কখন যেতে চান?
When do you want to go?,তুই কখন যেতে চাস?
Where can I buy stamps?,আমি স্ট্যাম্প কোথা থেকে কিনতে পারব?
Where can I get stamps?,আমি স্ট্যাম্প কোথা থেকে পাব?
Where do you come from?,আপনি কোথায় থেকে এসেছেন?
Where is the newspaper?,খবরের কাগজটি কোথায়?
Why don't you go first?,আপনি আগে যাচ্ছেন না কেন?
Why isn't this working?,এটা কাজ করছে না কেন?
Would you like to come?,আপনি কি আসতে চান?
Would you like to come?,তুমি কি আসতে চাও?
Would you like to come?,আপনারা কি আসতে চান?
Would you like to come?,তোমরা কি আসতে চাও?
You may use my new car.,তুমি আমার নতুন গাড়িটা ব্যবহার করতে পারো।
You may use my new car.,আপনি আমার নতুন গাড়িটা ব্যবহার করতে পারেন।
You should know better.,তুমিই ভালো করে জানো।
You should know better.,আপনিই ভালো করে জানেন।
You should know better.,আপনারাই ভালো করে জানেন।
You should know better.,তোমরাই ভালো করে জানো।
All three have resigned.,তিনজনেই পদত্যাগ করেছেন।
Are you good at physics?,আপনি কি পদার্থবিজ্ঞানে ভালো?
Are you referring to me?,আপনি কি আমার ব্যপারে বলছেন?
Ask me again in October.,আমাকে আবার অক্টোবরে জিজ্ঞাসা করবেন।
Can I take a look at it?,আমি কি এটা একটু দেখেতে পারি?
"Can you help me, please?",আপনি কি দয়া করে আমাকে সাহায্য করতে পারবেন?
Do you recognize anyone?,কাউকে চিনতে পারছেন?
Do you still read books?,আপনি কি এখনো বই পড়েন?
Do you still read books?,তুমি কি এখনো বই পড়ো?
Do you think Tom did it?,আপনি কি মনে করেন টম এটা করেছে?
Do you want fruit juice?,আপনি কি ফলের রস খেতে চান?
Do you want fruit juice?,তুমি কি ফলের রস খেতে চাও?
Does Tom live in Boston?,টম কি বস্টনে থাকে?
Don't forget the ticket.,টিকেটটি ভুলে যেও না।
Don't forget the ticket.,টিকিটটি ভুলে যাবেন না।
Don't forget the ticket.,টিকিটটি ভুলে যেও না।
Don't go in the kitchen.,রান্নাঘরে যেও না।
Don't go in the kitchen.,রান্নাঘরে যাবেন না।
Don't let it get soiled.,এটাকে নোংরা হতে দিও না।
Don't let it get soiled.,এটাকে নোংরা হতে দেবেন না।
Everybody was satisfied.,সবাই সন্তুষ্ট ছিলো।
Everybody's ready to go.,সবাই যাওয়ার জন্য তৈরি।
Everybody's ready to go.,সকলেই যাওয়ার জন্য তৈরি।
Everyone looked unhappy.,সবাইকে অখুশি দেখাচ্ছিলো।
Everything's negotiable.,সবকিছুই আলোচনাসূত্রে মীমাংসাযোগ্য।
"Good morning, everybody.",সবাইকে সুপ্রভাত।
Have I arrived too late?,আমি কি একটু বেশীই দেরি করে ফেলেছি?
Have you ever done that?,আপনি কখনো সেটা করেছেন?
Have you ever done that?,আপনি কখনো ওটা করেছেন?
Have you ever done that?,তুমি কখনো সেটা করেছো?
Have you ever done that?,তুমি কখনো ওটা করেছো?
He behaves like a child.,সে বাচ্চাদের মতো আচরণ করে।
He does well in physics.,সে পদার্থবিজ্ঞানে ভালো করে।
He is not what he seems.,তাকে যা মনে হয় সে তা নয়।
He neglects his studies.,সে পড়াশুনায় অবহেলা করে।
He works in the morning.,তিনি সকালে কাজ করেন।
Here is my phone number.,এই হলো আমার ফোন নাম্বার।
How do you keep so calm?,আপনি কি করে এতো শান্ত থাকতে পারেন?
How do you keep so calm?,তুমি কি করে এতো শান্ত থাকতে পার?
How do you keep so calm?,তুই কি করে এতো শান্ত থাকতে পারিস?
How far is it from here?,ওটা এখান থেকে কতটা দূরে?
How much are the onions?,পেঁয়াজের দাম কত?
How much does that cost?,ওটার দাম কত?
How much does that cost?,ওইটার দাম কত?
How much does this cost?,এর দাম কত?
How much does this cost?,এটার দাম কত?
How much will I receive?,আমি কতো পাবো?
How old is the universe?,মহাবিশ্বের বয়স কত?
I am eighteen years old.,আমার বয়স আঠারো বছর।
"I am your friend, right?","আমি আপনার বন্ধু, তাইতো?"
"I am your friend, right?","আমি তোমার বন্ধু, তাইতো?"
"I am your friend, right?","আমি তোর বন্ধু, তাইতো?"
"I am your friend, right?","আমি আপনাদের বন্ধু, তাইতো?"
"I am your friend, right?","আমি তোমাদের বন্ধু, তাইতো?"
"I am your friend, right?","আমি তোদের বন্ধু, তাইতো?"
I can only speak French.,আমি খালি ফরাসি ভাষায় কথা বলতে পারি।
I can't find my luggage.,আমি আমার মালপত্র খুজে পাচ্ছি না।
I can't stand hospitals.,আমি হাসপাতাল সহ্য করতে পারি না।
"I did do that, didn't I?","আমি ওটা করেছি, তাই না?"
"I did do that, didn't I?","আমি আসলেই ওটা করেছি, তাই না?"
I do not understand you.,আমি আপনার কথা বুঝতে পারছি না।
I do not understand you.,আমি তোমার কথা বুঝতে পারছি না।
I don't know the answer.,আমি উত্তরটা জানিনা।
"I don't like it, either.",আমিও এটা পছন্দ করি না।
I don't want it anymore.,আমার আর এটা দরকার নেই।
I don't want it anymore.,আমার আর ওটা দরকার নেই।
I don't want it anymore.,আমার আর সেটা দরকার নেই।
